Step -1, training acc: 0.800, instruction: 
Step 63, training acc: 0.640, instruction: True and not (False or False or False)
Step 63, training acc: 0.500, instruction: True and not (True and False) and (not True or False)
Step 63, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 63, training acc: 0.760, instruction: Not False and (False or True)
Step 64, training acc: 0.880, instruction: True and (False or not False) is True
Step 64, training acc: 0.860, instruction: True and (False or True) is True
Step 64, training acc: 0.720, instruction: True or not False
Step 64, training acc: 0.920, instruction: Not True or ( False and True ) is False
Step 64, training acc: 0.880, instruction: False and True
Step 64, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 64, training acc: 0.420, instruction: True and not (True or False or not True)
Step 64, training acc: 0.860, instruction: True and False and (False or True or not False) is True
Step 65, training acc: 0.600, instruction: True and (not True or not True or True)
Step 65, training acc: 0.640, instruction: True and not (True or not False) and True
Step 65, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 65, training acc: 0.920, instruction: Not True or ( False and True ) is False
Step 65, training acc: 0.880, instruction: False and True
Step 65, training acc: 0.880, instruction: True and not (True or False and True) is False
Step 65, training acc: 0.760, instruction: Not True
Step 65, training acc: 0.880, instruction: True and not (True or True or True) is True
Step 66, training acc: 0.600, instruction: True and not (True or False) and False
Step 66, training acc: 0.900, instruction: True and False and (not True or not False) is False
Step 66, training acc: 0.440, instruction: True or (not False and not False)
Step 66, training acc: 0.840, instruction: Not False and False or True or False is True
Step 66, training acc: 0.880, instruction: Not ( False and False ) and True is True
Step 66, training acc: 0.640, instruction: True or False or True
Step 66, training acc: 0.800, instruction: True and False and (True or False or True) is False
Step 66, training acc: 0.900, instruction: True and False and not (False or True or True) is False
Step 67, training acc: 0.540, instruction: True and not (False or not False)
Step 67, training acc: 0.580, instruction: True and not (True and True) and not (False or True)
Step 67, training acc: 0.440, instruction: True or (not False and not False)
Step 67, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 67, training acc: 0.680, instruction: Not True or not False or not (True and False)
Step 67, training acc: 0.860, instruction: True and False and ( not False or not True ) is False
Step 67, training acc: 0.880, instruction: True and not (False and not True) is True
Step 68, training acc: 0.880, instruction: True and (False or not False) is True
Step 68, training acc: 0.860, instruction: True and (False or True) is True
Step 68, training acc: 0.660, instruction: True or False and not (True and False)
Step 68, training acc: 0.620, instruction: True and (False or not not not False)
Step 68, training acc: 0.600, instruction: Not ( False or not not not False ) and False
Step 68, training acc: 0.620, instruction: True and not (True or False)
Step 68, training acc: 0.540, instruction: Not not True and not (not False or not not not False)
Step 68, training acc: 0.600, instruction: True and not (True or False or False)
Step 69, training acc: 0.540, instruction: True and not (False or not False)
Step 69, training acc: 0.900, instruction: False and not (False and False) is False
Step 69, training acc: 0.640, instruction: True or (False and True)
Step 69, training acc: 0.560, instruction: Not ( not False or True ) and not (not False) and ( False or not not not False )
Step 69, training acc: 0.800, instruction: Not (True or False) and False is False
Step 69, training acc: 0.520, instruction: Not ( False or True ) and False is
Step 69, training acc: 0.700, instruction: Not False and (True or not False)
Step 70, training acc: 0.880, instruction: True and (False or not not False) is True
Step 70, training acc: 0.440, instruction: True or (not False and not False)
Step 70, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 70, training acc: 0.600, instruction: Not ( True or not False ) and not False and not True
Step 70, training acc: 0.620, instruction: True and not (True or False)
Step 70, training acc: 0.900, instruction: True and False and ( False or not False ) is False
Step 70, training acc: 0.840, instruction: Not not not True and False and not not not (True or False) is False
Step 71, training acc: 0.900, instruction: True and not (True or True or True) is False
Step 71, training acc: 0.600, instruction: Not (True or True) and False
Step 71, training acc: 0.900, instruction: True and not (False or False or True) is False
Step 71, training acc: 0.880, instruction: False and True
Step 71, training acc: 0.620, instruction: Not (True or False) and not True
Step 71, training acc: 0.900, instruction: True and not (True and not False) and (not False) is True
Step 72, training acc: 0.740, instruction: True and not (True or True)
Step 72, training acc: 0.620, instruction: False or ( True and False ) or True
Step 72, training acc: 0.520, instruction: True or (not True and not False)
Step 72, training acc: 0.900, instruction: True and False and ( False or not False ) is False
Step 72, training acc: 0.500, instruction: Not ( not ( not True ) or not False ) or not False
Step 72, training acc: 0.640, instruction: True and (False and (not False and not True))
Step 72, training acc: 0.480, instruction: True and (not False or True)
Step 72, training acc: 0.580, instruction: True and not (True or not False) and (not False)
Step 73, training acc: 0.740, instruction: True and not (True or True)
Step 73, training acc: 0.580, instruction: True and not (False and False) and not (True or False)
Step 73, training acc: 0.440, instruction: True or (not False and not False)
Step 73, training acc: 0.680, instruction: True and not (True or True) and (False or not False)
Step 73, training acc: 0.680, instruction: True and not (True or not True)
Step 73, training acc: 0.860, instruction: True and not True or True and True is False
Step 74, training acc: 0.680, instruction: True and not (True and False)
Step 74, training acc: 0.860, instruction: False or ( False ) or not True is False
Step 74, training acc: 0.720, instruction: True or not True
Step 74, training acc: 0.860, instruction: False and True and (False or False) is False
Step 74, training acc: 0.640, instruction: True and (not True or False) and (False or not False)
Step 74, training acc: 0.420, instruction: True or ( not True ) or False is
Step 74, training acc: 0.640, instruction: True and not (True or True) and (False and not False)
Step 75, training acc: 0.560, instruction: True and not (True or True) and (not False)
Step 75, training acc: 0.540, instruction: Not True or (not True or False)
Step 75, training acc: 0.440, instruction: True or (not False and not False)
Step 75, training acc: 0.560, instruction: True and not (True or not False)
Step 75, training acc: 0.660, instruction: Not (not True or False) and not False
Step 76, training acc: 0.740, instruction: True and not (True or True)
Step 76, training acc: 0.640, instruction: Not (False or not False and not True)
Step 76, training acc: 0.440, instruction: True or (not False and not False)
Step 76, training acc: 0.900, instruction: True and not (True and not False) and (not False) is True
Step 76, training acc: 0.780, instruction: False and True and False
Step 76, training acc: 0.780, instruction: Not False or not True
Step 76, training acc: 0.900, instruction: True and False and not (False or True or True) is False
Step 77, training acc: 0.680, instruction: True and not (True and False)
Step 77, training acc: 0.640, instruction: True and not (False and not True)
Step 77, training acc: 0.540, instruction: True or (not False) or True
Step 77, training acc: 0.640, instruction: True and not (True and False) and (False or not False)
Step 77, training acc: 0.620, instruction: Not ( False or True ) and not False
Step 77, training acc: 0.800, instruction: True or not (False and True) is True
Step 77, training acc: 0.820, instruction: Not not not (False and True) and (not False or not True) is True
Step 78, training acc: 0.620, instruction: True and (False or not not False)
Step 78, training acc: 0.540, instruction: True and not (False or not False)
Step 78, training acc: 0.500, instruction: True and False and not (False or True or True)
Step 78, training acc: 0.860, instruction: True and (False or not True) is False
Step 78, training acc: 0.540, instruction: Not (not True and not True)
Step 78, training acc: 0.580, instruction: True and (True or False)
Step 79, training acc: 0.560, instruction: True and (False or not False)
Step 79, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 79, training acc: 0.720, instruction: True or not False
Step 79, training acc: 0.900, instruction: True and False and (not False or not True) is False
Step 79, training acc: 0.680, instruction: True and not (True and False)
Step 79, training acc: 0.800, instruction: True and False and (False or False) is True
Step 80, training acc: 0.520, instruction: True and False and (not False or not False)
Step 80, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 80, training acc: 0.660, instruction: True or not (False or not False)
Step 80, training acc: 0.820, instruction: True and (False or not True) is True
Step 80, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 80, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 81, training acc: 0.560, instruction: True and (False or not False)
Step 81, training acc: 0.660, instruction: True or False or (True and False)
Step 81, training acc: 0.640, instruction: True or (False and True)
Step 81, training acc: 0.520, instruction: True and (False or not True) or False
Step 81, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 81, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 81, training acc: 0.880, instruction: True and (not True or not False) is True
Step 81, training acc: 0.600, instruction: True and False and (not True and not False)
Step 82, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 82, training acc: 0.640, instruction: True and not (False and not True)
Step 82, training acc: 0.480, instruction: True or (not False and not True)
Step 82, training acc: 0.540, instruction: Not (False or True)
Step 82, training acc: 0.560, instruction: True and (True or True) and not (False or False)
Step 82, training acc: 0.600, instruction: Not True or ( False and True ) is
Step 82, training acc: 0.520, instruction: True and not (True or True) and not (not True or False)
Step 83, training acc: 0.460, instruction: True and (not False or not False) and (not True or not False)
Step 83, training acc: 0.660, instruction: True or not (False or not False)
Step 83, training acc: 0.840, instruction: True and (not True or False) is False
Step 83, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 83, training acc: 0.920, instruction: False and not (False or True) is False
Step 83, training acc: 0.880, instruction: True and (True or not False) is True
Step 83, training acc: 0.600, instruction: True and False and (not True and not False)
Step 84, training acc: 0.620, instruction: True and (False or not not not False)
Step 84, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 84, training acc: 0.440, instruction: True or (not False and not False)
Step 84, training acc: 0.520, instruction: True and not (False or False or True) and (not False or not True)
Step 84, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 84, training acc: 0.820, instruction: True and False and not False
Step 84, training acc: 0.420, instruction: ( True and False ) and ( not True and not False )
Step 84, training acc: 0.860, instruction: True and False and (not True or False or not True) is False
Step 85, training acc: 0.520, instruction: True and False and (not False or not False)
Step 85, training acc: 0.580, instruction: Not False and True or False and not (not False or True)
Step 85, training acc: 0.840, instruction: True or True or not False or False is True
Step 85, training acc: 0.600, instruction: Not ( not False ) and not False
Step 85, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 85, training acc: 0.640, instruction: True or True or False
Step 85, training acc: 0.540, instruction: True and ( not False or not False )
Step 86, training acc: 0.500, instruction: True and False and (not True or not False)
Step 86, training acc: 0.940, instruction: False and not (True and not False) is False
Step 86, training acc: 0.640, instruction: True or (False and True)
Step 86, training acc: 0.920, instruction: False and not (False or True) is False
Step 86, training acc: 0.840, instruction: True and False and ( False or True ) is False
Step 86, training acc: 0.840, instruction: Not True and True and not False
Step 86, training acc: 0.540, instruction: False and not (True and False)
Step 86, training acc: 0.600, instruction: True and False and (not True and not False)
Step 87, training acc: 0.840, instruction: False and (True or False or not True) is False
Step 87, training acc: 0.680, instruction: True and not (True and False)
Step 87, training acc: 0.660, instruction: False or ( True ) or not True is
Step 87, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 87, training acc: 0.860, instruction: True and ( not True ) and ( not False ) is False
Step 87, training acc: 0.460, instruction: True or False or not (False and True) and (False or not False)
Step 87, training acc: 0.500, instruction: ( True ) or ( not False ) or not True
Step 87, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 88, training acc: 0.840, instruction: True and (False or not True or False) is False
Step 88, training acc: 0.440, instruction: True or (not False and not False)
Step 88, training acc: 0.520, instruction: False and not (False or True)
Step 88, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 88, training acc: 0.260, instruction: Not ( False or True and not True ) is
Step 88, training acc: 0.580, instruction: Not (False and False or False)
Step 89, training acc: 0.580, instruction: False and not (False or not False)
Step 89, training acc: 0.900, instruction: True and False and (False or True or not True) is False
Step 89, training acc: 0.700, instruction: True or not False or not True
Step 89, training acc: 0.440, instruction: Not (not True or not False or True)
Step 89, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 89, training acc: 0.900, instruction: True and False and (not True or False) is False
Step 89, training acc: 0.860, instruction: True and (not False or False) is True
Step 89, training acc: 0.500, instruction: True and False and (not True or not False)
Step 90, training acc: 0.440, instruction: False and (True and False) and not (False or True or True)
Step 90, training acc: 0.700, instruction: True or (False and False)
Step 90, training acc: 0.820, instruction: Not ( True or False and False ) is True
Step 90, training acc: 0.440, instruction: True and False and not (True or False or not True and not False)
Step 90, training acc: 0.720, instruction: False or not (True and False)
Step 90, training acc: 0.880, instruction: False and (False or True) is False
Step 91, training acc: 0.860, instruction: True and False and (False or True) is False
Step 91, training acc: 0.800, instruction: False or True and not False
Step 91, training acc: 0.820, instruction: True and (True or False) is True
Step 91, training acc: 0.600, instruction: False and not (False and not True) and (True or not False)
Step 91, training acc: 0.720, instruction: False or not (True and False)
Step 91, training acc: 0.640, instruction: ( False ) and not False or not True
Step 91, training acc: 0.760, instruction: False or not not not False and True
Step 92, training acc: 0.800, instruction: False or True and not False
Step 92, training acc: 0.800, instruction: Not (True or False or True) is False
Step 92, training acc: 0.860, instruction: Not (not (False) or True) is False
Step 92, training acc: 0.600, instruction: True or not not (False and False)
Step 92, training acc: 0.840, instruction: True and (not True or False) is False
Step 92, training acc: 0.540, instruction: False and not (True and False)
Step 93, training acc: 0.800, instruction: False or True and not False
Step 93, training acc: 0.480, instruction: Not ( not True or not False ) and (not False or True )
Step 93, training acc: 0.860, instruction: True and False and (True and not False) is False
Step 93, training acc: 0.860, instruction: True and not (True and False) is False
Step 93, training acc: 0.580, instruction: True and not False or not False and True
Step 93, training acc: 0.880, instruction: False and not (True and False) and (not True) is False
Step 94, training acc: 0.440, instruction: False and (True and False) and not (False or True or True)
Step 94, training acc: 0.880, instruction: True and not (False and not False) is False
Step 94, training acc: 0.660, instruction: True or not (False or not False)
Step 94, training acc: 0.860, instruction: Not ( False and True ) is True
Step 94, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 94, training acc: 0.640, instruction: False and not (False or True) or False
Step 94, training acc: 0.560, instruction: (True and False) or not (False and True)
Step 94, training acc: 0.880, instruction: True and not (False and not True) and not (False and not True) is True
Step 95, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 95, training acc: 0.800, instruction: False or True and not False
Step 95, training acc: 0.900, instruction: Not (not False) and not False is True
Step 95, training acc: 0.920, instruction: False and not (False and not False) is False
Step 95, training acc: 0.540, instruction: False and (True or False) is
Step 95, training acc: 0.520, instruction: False and (not False or not True)
Step 95, training acc: 0.400, instruction: False and not (True or not False) is
Step 96, training acc: 0.900, instruction: True and False and (not True or not False) is False
Step 96, training acc: 0.520, instruction: False or True and not (False and True and True)
Step 96, training acc: 0.460, instruction: Not ( not False or not True ) and (not False or not not False)
Step 96, training acc: 0.680, instruction: False or (False or not True) or not True
Step 96, training acc: 0.860, instruction: False or (True or False) or not True is False
Step 96, training acc: 0.640, instruction: False and not (False and False)
Step 97, training acc: 0.620, instruction: True and (False or not not False)
Step 97, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 97, training acc: 0.580, instruction: False or True and not not False is
Step 97, training acc: 0.380, instruction: Not ( not True ) and ( not False )
Step 97, training acc: 0.520, instruction: False and not (False and True)
Step 97, training acc: 0.620, instruction: True and not (True or False) or not False
Step 97, training acc: 0.900, instruction: False and False and (True or False or not True) is False
Step 98, training acc: 0.520, instruction: False and not (False and True)
Step 98, training acc: 0.840, instruction: True or True or not False or False is True
Step 98, training acc: 0.400, instruction: Not (False and True) or (True and not False)
Step 98, training acc: 0.900, instruction: False and not (not False and True) is False
Step 98, training acc: 0.540, instruction: False and not (True or not not False)
Step 98, training acc: 0.520, instruction: False and not (False and True)
Step 98, training acc: 0.500, instruction: Not (not False) and not False and (not True or not True)
Step 99, training acc: 0.840, instruction: False and (not False or not False) is False
Step 99, training acc: 0.600, instruction: True or False or (False and not False)
Step 99, training acc: 0.520, instruction: False or True and not (False and not False)
Step 99, training acc: 0.540, instruction: False and (not False or not True) and (not False or not True)
Step 99, training acc: 0.480, instruction: False and not (False or True) and not True
Step 99, training acc: 0.840, instruction: False or not False
Step 99, training acc: 0.480, instruction: False or ( True and not False )
Step 99, training acc: 0.820, instruction: False or not False or True and True is True
Step 100, training acc: 0.520, instruction: False and not (True and False and True)
Step 100, training acc: 0.880, instruction: True and (not False and True) is True
Step 100, training acc: 0.800, instruction: False or True and not False
Step 100, training acc: 0.840, instruction: True and ( False or not True ) is True
Step 100, training acc: 0.520, instruction: False and not (False and True)
Step 100, training acc: 0.520, instruction: True and not (True and False) or (False and not True) and not False
Step 100, training acc: 0.740, instruction: Not False or (False and not False)
Step 100, training acc: 0.460, instruction: False and not (False and not False) and (not False)
Step 101, training acc: 0.860, instruction: Not False and not False and not False
Step 101, training acc: 0.440, instruction: True or (not False and not False)
Step 101, training acc: 0.640, instruction: Not True or ( False and True )
Step 101, training acc: 0.600, instruction: False and not (not False or not False)
Step 101, training acc: 0.900, instruction: False and (not False or not True) is False
Step 101, training acc: 0.620, instruction: False and not (False and True) and not False
Step 101, training acc: 0.680, instruction: Not (not False) and (True or False or True)
Step 102, training acc: 0.540, instruction: Not ( True and not not True and not False )
Step 102, training acc: 0.520, instruction: False and not (False and True)
Step 102, training acc: 0.860, instruction: True and not (False or True) and (not False) is True
Step 102, training acc: 0.620, instruction: Not (False or not True) and not (True and False)
Step 102, training acc: 0.400, instruction: True or False or (not True or not False)
Step 102, training acc: 0.420, instruction: False and not ( True and not False )
Step 103, training acc: 0.660, instruction: True or False or (True and False)
Step 103, training acc: 0.400, instruction: Not (not (True or False)) and (False or True)
Step 103, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 103, training acc: 0.660, instruction: Not ( True and True ) and False is
Step 103, training acc: 0.660, instruction: Not ( True and True ) and False is
Step 104, training acc: 0.560, instruction: True and (False or not False)
Step 104, training acc: 0.900, instruction: True and False and (False or True or not True) is False
Step 104, training acc: 0.760, instruction: False or True or not True
Step 104, training acc: 0.880, instruction: False and (False or not False) is False
Step 104, training acc: 0.520, instruction: False and not (False and True)
Step 104, training acc: 0.820, instruction: False and (True or False or not False) is False
Step 104, training acc: 0.660, instruction: Not (True or False) and not False
Step 105, training acc: 0.540, instruction: False and not (True or not not False)
Step 105, training acc: 0.880, instruction: True and (False or True or not False) is True
Step 105, training acc: 0.940, instruction: False and not (True and not not False) is False
Step 105, training acc: 0.440, instruction: False and not (False and True) and not (False and not True)
Step 105, training acc: 0.900, instruction: False and (not False or not True) is False
Step 105, training acc: 0.820, instruction: False or not False or True and True is True
Step 106, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 106, training acc: 0.800, instruction: False or True or not not False
Step 106, training acc: 0.860, instruction: False and not (False or True or not False) is False
Step 106, training acc: 0.520, instruction: False and not (False or True or not False)
Step 106, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 107, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 107, training acc: 0.740, instruction: False or True or not False
Step 107, training acc: 0.480, instruction: False and not (True and not not False)
Step 107, training acc: 0.520, instruction: False and not (False or True or not False)
Step 107, training acc: 0.520, instruction: False and not (False or True)
Step 107, training acc: 0.760, instruction: False or not not not False and True
Step 107, training acc: 0.580, instruction: False and not (False and not not False)
Step 108, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 108, training acc: 0.880, instruction: False and not (False and True and not not False) is False
Step 108, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 108, training acc: 0.500, instruction: False and not (True and not not False) and (not False or not False)
Step 108, training acc: 0.460, instruction: Not ( True or not False ) and not (not False or False)
Step 108, training acc: 0.540, instruction: False and not (False or True or True)
Step 108, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 108, training acc: 0.360, instruction: False and not (False and not not False) and (not False) and (not not True)
Step 109, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 109, training acc: 0.480, instruction: False and not (True and not not False)
Step 109, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 109, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 109, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 109, training acc: 0.520, instruction: False and not (not False and True and not not False)
Step 109, training acc: 0.580, instruction: False and True and (not not False)
Step 109, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 110, training acc: 0.940, instruction: False and not (True and not not not False) and (not False) is False
Step 110, training acc: 0.640, instruction: Not True and not False and (False or not not False)
Step 110, training acc: 0.660, instruction: False and (False or True) and not False
Step 110, training acc: 0.900, instruction: True and False and not (False or True or not False) is False
Step 110, training acc: 0.900, instruction: False and not (True or not False) and (not False) is False
Step 110, training acc: 0.460, instruction: False and (not True or not not True)
Step 110, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 110, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 111, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 111, training acc: 0.600, instruction: True and not (False or True) and not (not False)
Step 111, training acc: 0.760, instruction: False or True or not True
Step 111, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 111, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 111, training acc: 0.880, instruction: False and False
Step 111, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 111, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 112, training acc: 0.700, instruction: False or True or not False or not True or False
Step 112, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 112, training acc: 0.640, instruction: True or False or not True or not True or not False
Step 112, training acc: 0.680, instruction: True or False or not False
Step 112, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 113, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 113, training acc: 0.520, instruction: Not True and not (not True and not not False) and (not False)
Step 113, training acc: 0.760, instruction: False or True or not True
Step 113, training acc: 0.600, instruction: True and (False or not True)
Step 113, training acc: 0.600, instruction: True and (not True or False) and (not False)
Step 113, training acc: 0.580, instruction: False and not (False and not not True)
Step 113, training acc: 0.720, instruction: Not (False and not False)
Step 113, training acc: 0.520, instruction: False and not (False or True)
Step 114, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 114, training acc: 0.540, instruction: True or False or (True or False or False)
Step 114, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 114, training acc: 0.460, instruction: Not ( True or not False ) and not (not False)
Step 114, training acc: 0.400, instruction: True and not (False and not True) and (not False) and (not False)
Step 114, training acc: 0.940, instruction: False and not (True and not not not False) and (not False) is False
Step 114, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 115, training acc: 0.940, instruction: False and not (True and not False) is False
Step 115, training acc: 0.520, instruction: False or True and not (False and not True)
Step 115, training acc: 0.880, instruction: False and not (True or True) and False is False
Step 115, training acc: 0.420, instruction: False and not (True and not not not False) and (not False)
Step 115, training acc: 0.900, instruction: False and not (True or not False) and (not False) is False
Step 115, training acc: 0.580, instruction: False and not (True or not False) and (not False)
Step 115, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 116, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 116, training acc: 0.540, instruction: True and not (False or True) and (not False)
Step 116, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 116, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 116, training acc: 0.440, instruction: False and not (not (not True or False) or not True) and (not False)
Step 116, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 116, training acc: 0.840, instruction: Not (not True) or (not False) is True
Step 117, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 117, training acc: 0.420, instruction: False and not (True and not not not False) and (not False)
Step 117, training acc: 0.480, instruction: False and not (not True and False)
Step 117, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 117, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 118, training acc: 0.700, instruction: Not False and not False and False and False is
Step 118, training acc: 0.880, instruction: False and False and (not False and not False) is False
Step 118, training acc: 0.860, instruction: True and False and (False or not False) is False
Step 118, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 118, training acc: 0.800, instruction: 
Step 118, training acc: 0.540, instruction: False and not (True and False)
Step 119, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 119, training acc: 0.460, instruction: Not (True or True or False) and (not False or not True)
Step 119, training acc: 0.680, instruction: False or True and (False or True)
Step 119, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 119, training acc: 0.840, instruction: True and (not True or False) is False
Step 119, training acc: 0.460, instruction: Not False and not True and not False or not False and not False and not True
Step 119, training acc: 0.820, instruction: Not ( False or True or False ) is False
Step 119, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 120, training acc: 0.860, instruction: Not (True or not False or not False) is False
Step 120, training acc: 0.800, instruction: False or True and not False
Step 120, training acc: 0.860, instruction: Not ( True or not True or not not False ) is False
Step 120, training acc: 0.800, instruction: Not ( True or True or False ) is False
Step 120, training acc: 0.840, instruction: True and not False and False
Step 120, training acc: 0.900, instruction: False and not (True or not False) and (not False) is False
Step 120, training acc: 0.540, instruction: False and not (True and False)
Step 121, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 121, training acc: 0.900, instruction: True and False and not (False or True) is False
Step 121, training acc: 0.760, instruction: False or True or not True
Step 121, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 121, training acc: 0.500, instruction: Not (False or not False) and (not True) and (not False)
Step 121, training acc: 0.580, instruction: False and not (False and not not True)
Step 121, training acc: 0.560, instruction: False and not (True and not False) and (not False)
Step 121, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 122, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 122, training acc: 0.560, instruction: True and not (False and True) and not (False or True)
Step 122, training acc: 0.800, instruction: False or True and not False
Step 122, training acc: 0.440, instruction: Not ( True and False ) or ( False and True )
Step 122, training acc: 0.500, instruction: Not (True or not False) and (not False and not True)
Step 122, training acc: 0.440, instruction: Not (False or True) and (False or not True)
Step 122, training acc: 0.940, instruction: False and (True and not False) is False
Step 122, training acc: 0.920, instruction: False and not (False and not False) and (not False) is False
Step 123, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 123, training acc: 0.580, instruction: False and not (True or not False) and (not False)
Step 123, training acc: 0.520, instruction: False or True or not (False and not True)
Step 123, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 123, training acc: 0.500, instruction: False and False and (not False or not True)
Step 123, training acc: 0.520, instruction: False and not (False or True)
Step 123, training acc: 0.480, instruction: False and (True or not False) and not (True or not False)
Step 123, training acc: 0.620, instruction: Not (False or not True) and not (False and not False)
Step 124, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 124, training acc: 0.900, instruction: True and not (True or False) is True
Step 124, training acc: 0.800, instruction: False or True and not False
Step 124, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 124, training acc: 0.400, instruction: Not ( not ( False or not False ) and False )
Step 124, training acc: 0.520, instruction: False and not (False or True)
Step 124, training acc: 0.660, instruction: Not (False and not True) and not False
Step 125, training acc: 0.560, instruction: True and not ( False or True and not False )
Step 125, training acc: 0.480, instruction: True or False or (True and not False) or (not False and not False)
Step 125, training acc: 0.560, instruction: False or True and not (False and not not False)
Step 125, training acc: 0.540, instruction: Not (not (True or not False) or (not False and not False))
Step 125, training acc: 0.840, instruction: Not ( False and False and False ) is True
Step 125, training acc: 0.520, instruction: True or False or (not True or True)
Step 125, training acc: 0.560, instruction: ( True or not not not False ) and ( False or True or False )
Step 125, training acc: 0.920, instruction: False and not (False and not False) and (not False) is False
Step 126, training acc: 0.960, instruction: False and not (True and not not False) and (not False) is False
Step 126, training acc: 0.660, instruction: True or False or (True and False)
Step 126, training acc: 0.740, instruction: False or True or not False or not True
Step 126, training acc: 0.940, instruction: False and not (True and not False) and (not False) is False
Step 126, training acc: 0.880, instruction: Not ( not True and not False ) and (not False) is False
Step 126, training acc: 0.520, instruction: False and not (False or True)
Step 126, training acc: 0.880, instruction: False and (not True or False) is False
Step 126, training acc: 0.580, instruction: False and not (True or not False) and (not False)
Step 127, training acc: 0.600, instruction: False and not (True and not not False) and (not False)
Step 127, training acc: 0.900, instruction: True and False and not (False or True or not True) is False
Step 127, training acc: 0.680, instruction: False or True and not not False
Step 127, training acc: 0.460, instruction: False and not (True and not not False) and (not False) and (True and not False)
Step 127, training acc: 0.620, instruction: Not (False or True) and not False
Step 127, training acc: 0.880, instruction: False and not (not (not False or True) or not False) is False
Step 127, training acc: 0.560, instruction: False and (not True or False) and not (not False)
